41.0,-127.0,69.0,-3.0,-13.0,-69.0,-7.0,-60.0,-44.0,-22.0,39.0,-122.0,33.0,-44.0,158.0,-136.0,28.0,60.0,91.0,-62.0,-7.0,58.0,45.0,53.0,81.0,-144.0,66.0,37.0,-21.0,79.0,87.0,-163.0,141.0,-70.0,-27.0,-16.0,49.0,-13.0,-13.0,-28.0,69.0,5.0,-87.0,-6.0,51.0,-78.0,7.0,-4.0,43.0,-55.0,106.0,-73.0,6.0,1.0,-33.0,23.0,66.0,-51.0,-6.0,-44.0,42.0,-127.0,57.0,-42.0,18.0,30.0,-77.0,76.0,-54.0,36.0,7.0,-32.0,67.0,-45.0,-44.0,26.0,-8.0,6.0,13.0,-49.0,48.0,-86.0,-44.0,135.0,-81.0,24.0,27.0,-62.0,52.0,-59.0,10.0,-17.0,-33.0,11.0,-19.0,1.0,21.0,-47.0
-2.0,13.0,189.0,-107.0,117.0,46.0,-101.0,79.0,22.0,-111.0,224.0,-108.0,119.0,-114.0,108.0,-3.0,-53.0,-47.0,79.0,-20.0,-15.0,23.0,-13.0,52.0,48.0,123.0,-184.0,117.0,-100.0,4.0,11.0,-108.0,120.0,-104.0,95.0,-64.0,29.0,3.0,-13.0,14.0,-3.0,-22.0,66.0,-73.0,8.0,-35.0,60.0,-109.0,62.0,-47.0,25.0,-39.0,64.0,-19.0,13.0,6.0,11.0,26.0,-14.0,-8.0,46.0,-75.0,68.0,-32.0,57.0,-37.0,-18.0,36.0,-2.0,-40.0,7.0,-25.0,78.0,-21.0,-43.0,34.0,-75.0,67.0,3.0,-30.0,41.0,-24.0,-24.0,98.0,-96.0,13.0,7.0,-26.0,61.0,39.0,88.0,105.0,73.0,61.0,33.0,-25.0,41.0,-32.0
94.0,-105.0,166.0,-94.0,15.0,70.0,85.0,-68.0,71.0,-44.0,171.0,-79.0,-53.0,87.0,75.0,22.0,-30.0,9.0,6.0,-90.0,-10.0,-118.0,96.0,-91.0,-70.0,49.0,44.0,-18.0,13.0,19.0,84.0,-152.0,-3.0,-61.0,47.0,-5.0,-47.0,9.0,-74.0,-5.0,-121.0,138.0,11.0,38.0,57.0,-56.0,-33.0,-10.0,37.0,-37.0,12.0,-15.0,19.0,-38.0,-30.0,43.0,-79.0,4.0,31.0,-34.0,91.0,-92.0,97.0,-48.0,47.0,-5.0,-31.0,31.0,6.0,14.0,-31.0,10.0,-19.0,36.0,-101.0,132.0,-90.0,43.0,-32.0,2.0,4.0,-13.0,-53.0,162.0,-110.0,24.0,19.0,-4.0,154.0,60.0,32.0,112.0,87.0,19.0,215.0,-47.0,10.0,-1.0
32.0,-85.0,196.0,-39.0,-32.0,85.0,-56.0,-6.0,131.0,-216.0,63.0,9.0,-10.0,-68.0,41.0,-102.0,-101.0,53.0,9.0,41.0,-19.0,-53.0,11.0,112.0,-53.0,61.0,-73.0,24.0,-36.0,46.0,28.0,-128.0,230.0,-163.0,78.0,-46.0,62.0,-20.0,61.0,-49.0,-38.0,12.0,-57.0,89.0,23.0,94.0,-4.0,7.0,-13.0,-10.0,61.0,-59.0,17.0,-10.0,-35.0,41.0,-133.0,106.0,-53.0,12.0,42.0,-30.0,4.0,-27.0,-13.0,-29.0,-84.0,-34.0,-70.0,92.0,-62.0,74.0,-30.0,45.0,-136.0,175.0,-99.0,26.0,19.0,-28.0,2.0,-49.0,0.0,88.0,-4.0,90.0,58.0,55.0,113.0,-115.0,-134.0,-120.0,-181.0,-201.0,105.0,119.0,2.0,-42.0
27.0,-100.0,79.0,-41.0,-80.0,75.0,5.0,16.0,89.0,-90.0,36.0,-27.0,-63.0,4.0,-8.0,56.0,-25.0,-4.0,-94.0,100.0,-31.0,-48.0,-79.0,-4.0,-146.0,31.0,50.0,-22.0,-32.0,-25.0,87.0,-172.0,128.0,-29.0,26.0,-130.0,66.0,-31.0,52.0,80.0,-113.0,50.0,34.0,-17.0,-25.0,16.0,-104.0,28.0,28.0,-103.0,5.0,-90.0,29.0,41.0,-100.0,177.0,-54.0,-54.0,21.0,-28.0,0.0,-30.0,42.0,-59.0,38.0,47.0,-135.0,156.0,-15.0,7.0,-36.0,-57.0,18.0,16.0,-39.0,62.0,-55.0,31.0,51.0,-73.0,55.0,-27.0,20.0,81.0,126.0,46.0,-49.0,-5.0,-90.0,-96.0,-57.0,-22.0,-86.0,-86.0,-382.0,392.0,27.0,-22.0
2.0,-66.0,13.0,-60.0,55.0,-69.0,-36.0,-7.0,94.0,-96.0,73.0,-61.0,42.0,9.0,-101.0,32.0,62.0,49.0,-117.0,2.0,-23.0,35.0,-18.0,18.0,-34.0,-36.0,-4.0,-37.0,5.0,-12.0,51.0,-11.0,95.0,-28.0,30.0,-13.0,64.0,-23.0,83.0,-44.0,39.0,-29.0,-4.0,40.0,38.0,-2.0,70.0,-65.0,91.0,-117.0,138.0,-129.0,39.0,21.0,-107.0,22.0,144.0,-23.0,-83.0,-80.0,100.0,-131.0,65.0,36.0,-92.0,83.0,-38.0,25.0,-209.0,268.0,-172.0,72.0,9.0,-63.0,6.0,5.0,-87.0,5.0,-16.0,-27.0,51.0,-24.0,60.0,21.0,-44.0,-98.0,-61.0,-38.0,-53.0,-27.0,-22.0,36.0,11.0,-21.0,-248.0,14.0,147.0,-21.0
-22.0,63.0,-23.0,-166.0,28.0,-2.0,26.0,-69.0,117.0,-153.0,80.0,-4.0,-65.0,155.0,-136.0,106.0,102.0,-130.0,88.0,21.0,16.0,104.0,-24.0,98.0,13.0,26.0,25.0,13.0,-8.0,-66.0,-31.0,53.0,7.0,-30.0,81.0,-110.0,63.0,-48.0,21.0,-34.0,55.0,-40.0,-60.0,3.0,-14.0,43.0,-28.0,46.0,59.0,-69.0,97.0,35.0,-13.0,44.0,-27.0,35.0,-100.0,117.0,-35.0,7.0,-73.0,102.0,-55.0,53.0,108.0,-47.0,0.0,-25.0,-26.0,58.0,38.0,-13.0,-54.0,76.0,-36.0,112.0,-134.0,112.0,-57.0,-38.0,86.0,13.0,61.0,-23.0,-50.0,-49.0,-20.0,3.0,-3.0,-8.0,26.0,18.0,9.0,28.0,-32.0,-320.0,329.0,-43.0
-56.0,25.0,60.0,-40.0,74.0,-49.0,6.0,38.0,92.0,-125.0,158.0,-84.0,-13.0,45.0,-122.0,73.0,38.0,-73.0,-9.0,26.0,-154.0,168.0,-70.0,-5.0,28.0,-115.0,-56.0,84.0,-9.0,2.0,-32.0,6.0,-41.0,-63.0,70.0,-15.0,-38.0,36.0,-12.0,-73.0,97.0,-17.0,-41.0,53.0,-1.0,-97.0,-8.0,-5.0,1.0,35.0,-51.0,71.0,-75.0,-35.0,37.0,8.0,68.0,22.0,-32.0,27.0,-52.0,-6.0,10.0,-30.0,-21.0,1.0,-86.0,157.0,-108.0,34.0,35.0,44.0,-50.0,-41.0,-29.0,21.0,-53.0,4.0,-23.0,-55.0,115.0,10.0,14.0,-32.0,-19.0,23.0,-4.0,2.0,-18.0,-44.0,-6.0,10.0,-15.0,7.0,1.0,-266.0,243.0,-3.0
-51.0,54.0,76.0,-33.0,79.0,-57.0,-7.0,-18.0,87.0,-161.0,114.0,-83.0,26.0,39.0,-39.0,-2.0,37.0,-54.0,45.0,-25.0,24.0,83.0,-75.0,66.0,9.0,-64.0,40.0,-5.0,-18.0,-20.0,5.0,-21.0,3.0,-22.0,56.0,-61.0,121.0,-117.0,84.0,-92.0,-5.0,35.0,59.0,-76.0,37.0,4.0,17.0,-14.0,7.0,-19.0,79.0,-105.0,123.0,-44.0,-42.0,-170.0,123.0,-41.0,46.0,-22.0,28.0,-38.0,-27.0,-95.0,141.0,-36.0,-39.0,78.0,22.0,-23.0,-194.0,132.0,12.0,16.0,19.0,-68.0,29.0,61.0,-100.0,-2.0,86.0,61.0,-43.0,-142.0,-2.0,38.0,27.0,10.0,3.0,15.0,13.0,-9.0,-11.0,-9.0,13.0,-175.0,54.0,110.0
-53.0,-27.0,138.0,-114.0,84.0,-48.0,-7.0,-6.0,126.0,-118.0,152.0,-97.0,57.0,17.0,-4.0,32.0,95.0,-66.0,54.0,-5.0,-57.0,104.0,-244.0,182.0,-54.0,55.0,-2.0,-4.0,35.0,40.0,-50.0,53.0,43.0,-81.0,89.0,-56.0,33.0,-34.0,31.0,-8.0,-8.0,-7.0,-192.0,120.0,8.0,-49.0,-11.0,10.0,-45.0,-23.0,-1.0,-14.0,13.0,43.0,5.0,20.0,-4.0,44.0,14.0,-17.0,-39.0,47.0,121.0,-45.0,44.0,12.0,-27.0,44.0,24.0,-16.0,-24.0,-11.0,-54.0,53.0,-18.0,73.0,-22.0,100.0,6.0,-87.0,26.0,127.0,-154.0,-119.0,-17.0,9.0,21.0,-1.0,-8.0,33.0,8.0,36.0,12.0,-8.0,-15.0,-56.0,-259.0,369.0
